Company	Category	City	State	Website	Tags
Advanced Navigation & Positioning Corporation	Hardware	Hood River	OR	https://www.anpc.com/	Precision Approach Guidance, Airspace Awareness
Advanced Aircraft Company	Hardware			https://advancedaircraftcompany.com/	UAS Platform Mfr
Aerovel	Hardware			https://aerovel.com/	UAS Platform Mfr
Allied Vision	Hardware	Exton	PA	https://www.alliedvision.com	Cameras
American Aerospace	Hardware			https://www.americanaerospace.com/	UAS Platform Mfr
American Aerospace Engineering	Services			https://www.americanaerospaceengineering.com/	UAS Consulting
Berkowitz Pollack Brant Advisors + CPAs	Services			https://www.bpbcpa.com/	Financial Services, M&A, Mergers, Acquisitions
Business Oregon	Services	Salem	OR	https://www.oregon.gov/biz/pages/default.aspx	Business Support
Clarify Consulting, LLC	Services	Stevenson	WA	https://www.clarifyconsultingllc.com	UAS Consulting
Columbia Gorge Community College	Education	The Dalles	OR	http://www.cgcc.edu/	Business Support
Columbia Gorge Regional Airport	Services			https://www.flycgra.com/	Flight Test Services, Workforce
Custom Interface, Inc	Hardware			https://www.custominterfaceinc.com/	Wire Harnesses, Contract Manufacturing
Decavo	Hardware	Hood River	OR	https://www.decavo.com	Carbon Fiber
Delta Sierra Aviation	Services	White Salmon	WA	https://www.deltasierraaviation.com/	Flight Test Services
East Cascades Workforce Investment Board	Services	Bend	OR	https://www.eastcascadesworks.org/	Business Support, Workforce
Electronic Assemblers, Inc.	Hardware			https://eaicables.com/	Wire Harnesses
Emergent Engineering, LLC	Services	Mt. Hood Parkdale	OR	https://www.linkedin.com/in/wesley-lapp-23b7b17/	UAS Consulting
EPBB	Services	Portland	OR	https://www.epbb.com	Insurance
ExcelTech Inc.	Hardware	McMinnville	OR	https://etiquality.com/	PCBA
Hood Tech	Hardware	Hood River	OR	https://www.hoodtech.com	Flight Test Services, Cameras
Impact Electronic Solutions	Services & Hardware	Vancouver	WA	https://www.impactelectronics.com/	Electronics and Software Design, PCBA, Cable & Wire Harness Assembly, Box Builds & IPC Training, Contract Manufacturing
Innovative Composite Engineering	Hardware	White Salmon	WA	https://www.innovativecomposite.com/	Carbon Fiber
Insitu	Hardware	Bingen	WA	http://www.insitu.com/	UAS Platform Mfr, Cameras
Irl Davis	Services	Tygh Valley	OR		UAS Consulting
Jentay Group	Hardware	Portland	OR	https://www.JentayGroup.com	Carbon Fiber
Ken Jernstedt Airfield	Services			https://portofhoodriver.com/airport/	Flight Test Services
Magnum Custom Works	Services	Hood River	OR	https://magnumcustomworks.com/	Cerakote, Flight Test Services
Mid-Columbia Economic Development District	Services	The Dalles	OR	https://www.mcedd.org	Networking, Business Financing
Oregon Aviation Industries	Services	West Linn	OR	https://www.oravi.org	Business Support, Networking
Oregon Deptment of Aviation	Services		OR	https://www.oregon.gov/aviation/pages/index.aspx	Business Support, Airport Management
Oregon Manufacturing Extension Partnership	Services	Portland	OR	https://omep.org/	Networking
Overwatch Imaging	Hardware	Hood River	OR	https://www.overwatchimaging.com/	Cameras
Pacific Northwest Defense Coalition	Services	Portland	OR	https://www.pndc.us	Networking
Power4Flight, LLC	Hardware	Hood River	OR	https://www.power4flight.com	Engines, Currawong, Series Hybrid
PUR (Pendleton UAS Range)	Services	Pendleton	OR	https://www.pendletonuasrange.com/	Flight Test Services
Sagetech Avionics	Hardware	Bingen // White Salmon	WA	https://www.sagetech.com	Transponders
Sierra Olympia	Hardware	Hood River	OR	https://www.sierraolympic.com/	Cameras
Sightline Applications	Software	Hood River	OR	https://www.sightlineapplications.com/	Computer Vision
Sigma Design	Services	Camas	WA	https://www.sigmadzn.com	Contract Manufacturing
Trillium Engineering	Hardware	Hood River	OR	https://www.trilliumeng.com/	Cameras
Washington Dept. of Aviation	Business Support		WA	https://wsdot.wa.gov/travel/aviation	Airport management
Washington Dept. of Commerce	Services		WA	https://www.commerce.wa.gov/	Business Support
Zepher, Inc	Services			https://zepherinc.com/	Contract Manufacturing
Zepher Flight Labs	Hardware			https://www.zepherflight.com/	UAS Platform Mfr
Applied Navigation 	Hardware/sopftware			https://appliednav.com/	UAS autopilots, flight control, GUI
Cobra- AERO	Hardware			https://www.cobra-aero.com/	Engines 
Sierra Nevada Corporation (SNC) (Volansi Platform) 	Hardware 			https://www.sncorp.com/capabilities/unmanned-systems/	UAS Platform Mfr
Kaneda Consulting	Services	Hood River	OR	https://www.kaneda-consulting.com	AI/ML Consulting, Computer Vision, UAV, Machine Learning, Artificial Intelligence, Software, Advisory, Strategy, CV, ML, AI
End State Solutions	Services				Aviation Regulatory support/guidance
Mac Origin	Services				Machining
Flighthouse					
Invictus Global Services					
Versatile Supply					
Peterson Pro Media	Services			https://www.petersonpromedia.com	Video